# IRC section -> PDF page -> title | Source: IRC PDF, Release Point 119-102 (Aug 2026), 7,171 pages | Regenerate: pdftotext + regex ^§(sec)\. per page
1	92	Tax imposed
2	143	Definitions and special rules
3	147	Tax tables for individuals
5	150	Cross references relating to tax on individuals
11	152	Tax imposed
12	157	Cross references relating to tax on corporations
15	159	Effect of changes
21	164	Expenses for household and dependent care services necessary for gainful
22	172	Credit for the elderly and the permanently and totally disabled
23	177	Adoption expenses
24	185	Child tax credit
25	198	Interest on certain home mortgages
25A	208	American Opportunity and Lifetime Learning credits
25B	216	Elective deferrals and IRA contributions by certain individuals
25C	221	Energy efficient home improvement credit
25D	230	Residential clean energy credit
25E	236	Previously-owned clean vehicles
25F	238	Qualified elementary and secondary education scholarships
26	241	Limitation based on tax liability; definition of tax liability
27	249	Taxes of foreign countries and possessions of the United States
30B	251	Alternative motor vehicle credit
30C	264	Alternative fuel vehicle refueling property credit
30D	270	Clean vehicle credit
31	280	Tax withheld on wages
32	281	Earned income
33	302	Tax withheld at source on nonresident aliens and foreign corporations
34	302	Certain uses of gasoline and special fuels
35	305	Health insurance costs of eligible individuals
36	317	First-time homebuyer credit
36B	323	Refundable credit for coverage under a qualified health plan
37	337	Overpayments of tax
38	339	General business credit
39	358	Carryback and carryforward of unused credits
40	362	Alcohol, etc., used as fuel
40A	375	Biodiesel and renewable diesel used as fuel
40B	382	Sustainable aviation fuel credit
41	384	Credit for increasing research activities
42	409	Low-income housing credit
43	459	Enhanced oil recovery credit
44	463	Expenditures to provide access to disabled individuals
45	466	Electricity produced from certain renewable resources, etc.
45A	492	Indian employment credit
45AA	604	Military spouse retirement plan eligibility credit for small employers
45B	497	Credit for portion of employer social security taxes paid with respect to
45C	499	Clinical testing expenses for certain drugs for rare diseases or conditions
45D	505	New markets tax credit
45E	512	Small employer pension plan startup costs
45F	516	Employer-provided child care credit
45G	520	Railroad track maintenance credit
45H	523	Credit for production of low sulfur diesel fuel
45I	526	Credit for producing oil and gas from marginal wells
45J	529	Credit for production from advanced nuclear power facilities
45K	532	Credit for producing fuel from a nonconventional source
45L	541	New energy efficient home credit
45N	546	Mine rescue team training credit
45O	547	Agricultural chemicals security credit
45P	549	Employer wage credit for employees who are active duty members of the
45Q	551	Credit for carbon oxide sequestration
45R	561	Employee health insurance expenses of small employers
45S	566	Employer credit for paid family and medical leave
45T	569	Auto-enrollment option for retirement savings options provided by small
45U	570	Zero-emission nuclear power production credit
45V	573	Credit for production of clean hydrogen
45W	576	Credit for qualified commercial clean vehicles
45X	578	Advanced manufacturing production credit
45Y	590	Clean electricity production credit
45Z	598	Clean fuel production credit
46	606	Amount of credit
47	624	Rehabilitation credit
48	633	Energy credit
48A	670	Qualifying advanced coal project credit
48B	677	Qualifying gasification project credit
48C	680	Qualifying advanced energy project credit
48D	686	Advanced manufacturing investment credit
48E	689	Clean electricity investment credit
49	698	At-risk rules
50	704	Other special rules
51	713	Amount of credit
52	734	Special rules
53	737	Credit for prior year minimum tax liability
55	744	Alternative minimum tax imposed
56	758	Adjustments in computing alternative minimum taxable income
56A	777	Adjusted financial statement income
57	782	Items of tax preference
58	787	Denial of certain losses
59	790	Other definitions and special rules
59A	800	Tax on base erosion payments of taxpayers with substantial gross receipts
61	808	Gross income defined
62	812	Adjusted gross income defined
63	824	Taxable income defined
64	833	Ordinary income defined
65	833	Ordinary loss defined
66	833	Treatment of community income
67	835	2-percent floor on miscellaneous itemized deductions
68	839	Overall limitation on itemized deductions
72	842	Annuities; certain proceeds of endowment and life insurance contracts
73	892	Services of child
74	892	Prizes and awards
75	895	Dealers in tax-exempt securities
77	896	Commodity credit loans
78	897	Gross up for deemed paid foreign tax credit
79	898	Group-term life insurance purchased for employees
80	903	Restoration of value of certain securities
82	904	Reimbursement of moving expenses
83	905	Property transferred in connection with performance of services
84	913	Transfer of appreciated property to political organizations
85	914	Unemployment compensation
86	916	Social security and tier 1 railroad retirement benefits
87	922	Alcohol and biodiesel fuels credits
88	922	Certain amounts with respect to nuclear decommissioning costs
90	924	Illegal Federal irrigation subsidies
91	924	Certain foreign branch losses transferred to specified 10-percent owned
101	930	Certain death benefits
102	942	Gifts and inheritances
103	943	Interest on State and local bonds
104	963	Compensation for injuries or sickness
105	967	Amounts received under accident and health plans
106	975	Contributions by employer to accident and health plans
107	980	Rental value of parsonages
108	980	Income from discharge of indebtedness
109	1002	Improvements by lessee on lessor's property
110	1002	Qualified lessee construction allowances for short-term leases
111	1003	Recovery of tax benefit items
112	1005	Certain combat zone compensation of members of the Armed Forces
115	1012	Income of States, municipalities, etc.
117	1013	Qualified scholarships
118	1018	Contributions to the capital of a corporation
119	1022	Meals or lodging furnished for the convenience of the employer
121	1026	Exclusion of gain from sale of principal residence
122	1037	Certain reduced uniformed services retirement pay
123	1038	Amounts received under insurance contracts for certain living expenses
125	1039	Cafeteria plans
126	1052	Certain cost-sharing payments
127	1054	Educational assistance programs
128	1060	Employer contributions to Trump accounts
129	1061	Dependent care assistance programs
130	1068	Certain personal injury liability assignments
131	1070	Certain foster care payments
132	1072	Certain fringe benefits
133	1086	INTEREST ON CERTAIN LOANS USED TO ACQUIRE EMPLOYER SECURITIES
134	1088	Certain military benefits
135	1091	Income from United States savings bonds used to pay higher education
136	1096	Energy conservation subsidies provided by public utilities
137	1097	Adoption assistance programs
138	1101	Medicare Advantage MSA
139	1103	Disaster relief payments
139A	1105	Federal subsidies for prescription drug plans
139B	1106	Benefits provided to volunteer firefighters and emergency medical
139C	1107	Certain disability-related first responder retirement payments
139D	1108	Indian health care benefits
139E	1110	Indian general welfare benefits
139F	1112	Certain amounts received by wrongfully incarcerated individuals
139G	1113	Assignments to Alaska Native Settlement Trusts
139H	1114	Interest received in action to recover property seized by the Internal
139I	1114	Continuation coverage premium assistance
139J	1114	Certain contributions to Trump accounts
139K	1115	Scholarships for qualified elementary or secondary education expenses of
139L	1115	Interest on loans secured by rural or agricultural real property
140	1117	Cross references to other Acts
141	1120	Private activity bond; qualified bond
142	1164	Exempt facility bond
143	1184	Mortgage revenue bonds: qualified mortgage bond and qualified veterans'
144	1205	Qualified small issue bond; qualified student loan bond; qualified
145	1216	Qualified 501(c)(3) bond
146	1220	Volume cap
147	1228	Other requirements applicable to certain private activity bonds
